seat_no,seat,booth,BRS,INC,BJP,AIMIM,others,valid_votes,nota,total_polled
61,Jubilee Hills,267,202,178,29,17,9,435,1,436
61,Jubilee Hills,268,197,151,53,30,11,442,4,446
61,Jubilee Hills,269,332,160,126,21,15,654,14,668
61,Jubilee Hills,270,322,214,84,22,6,648,2,650
61,Jubilee Hills,271,391,238,85,13,14,741,4,745
61,Jubilee Hills,272,326,252,51,48,23,700,2,702
61,Jubilee Hills,273,230,137,47,15,7,436,1,437
61,Jubilee Hills,274,341,270,37,36,10,694,3,697
61,Jubilee Hills,275,487,263,93,56,21,920,2,922
61,Jubilee Hills,276,227,117,37,16,13,410,0,410
61,Jubilee Hills,276A,259,146,23,22,11,461,0,461
61,Jubilee Hills,277,458,249,45,38,22,812,1,813
61,Jubilee Hills,278,470,270,36,69,21,866,2,868
61,Jubilee Hills,279,239,192,44,21,11,507,1,508
61,Jubilee Hills,280,268,180,80,10,18,556,5,561
61,Jubilee Hills,281,347,228,90,28,12,705,2,707
61,Jubilee Hills,282,262,197,107,29,15,610,2,612
61,Jubilee Hills,283,329,254,128,27,11,749,3,752
61,Jubilee Hills,284,355,225,69,29,9,687,4,691
61,Jubilee Hills,285,280,171,76,13,11,551,8,559
61,Jubilee Hills,286,286,198,150,5,23,662,5,667
61,Jubilee Hills,287,320,182,130,4,14,650,6,656
61,Jubilee Hills,288,322,182,100,10,14,628,6,634
61,Jubilee Hills,289,314,178,113,4,18,627,3,630
61,Jubilee Hills,290,232,141,105,5,15,498,5,503
61,Jubilee Hills,291,232,110,83,6,19,450,5,455
61,Jubilee Hills,292,295,185,131,15,10,636,6,642
61,Jubilee Hills,293,332,260,143,1,17,753,6,759
61,Jubilee Hills,294,250,133,223,0,16,622,6,628
61,Jubilee Hills,295,264,149,185,3,10,611,3,614
61,Jubilee Hills,296,231,168,74,19,7,499,1,500
61,Jubilee Hills,296A,238,146,56,11,8,459,2,461
61,Jubilee Hills,297,274,138,89,3,13,517,8,525
61,Jubilee Hills,298,439,277,51,50,35,852,7,859
61,Jubilee Hills,299,245,180,19,21,18,483,1,484
61,Jubilee Hills,299A,204,147,22,12,12,397,0,397
61,Jubilee Hills,300,268,150,95,5,14,532,2,534
61,Jubilee Hills,300A,236,109,75,3,10,433,6,439
61,Jubilee Hills,301,401,202,138,2,26,769,10,779
61,Jubilee Hills,302,287,189,141,8,9,634,7,641
61,Jubilee Hills,303,175,131,138,2,6,452,5,457
61,Jubilee Hills,303A,187,118,104,3,4,416,9,425
61,Jubilee Hills,304,258,135,103,2,22,520,9,529
61,Jubilee Hills,304A,185,109,44,9,6,353,3,356
61,Jubilee Hills,305,321,238,75,10,4,648,3,651
61,Jubilee Hills,306,253,210,56,20,8,547,2,549
61,Jubilee Hills,307,219,189,76,22,2,508,0,508
61,Jubilee Hills,308,241,135,81,2,12,471,8,479
61,Jubilee Hills,308A,131,68,53,2,4,258,6,264
61,Jubilee Hills,309,315,185,99,22,12,633,4,637
61,Jubilee Hills,310,343,240,54,43,20,700,2,702
61,Jubilee Hills,311,299,216,19,66,16,616,0,616
61,Jubilee Hills,312,322,196,83,37,18,656,10,666
61,Jubilee Hills,313,286,189,75,45,9,604,1,605
61,Jubilee Hills,314,251,176,42,25,22,516,3,519
61,Jubilee Hills,315,357,167,83,22,22,651,2,653
61,Jubilee Hills,316,344,232,37,35,8,656,0,656
61,Jubilee Hills,317,302,205,31,38,12,588,2,590
61,Jubilee Hills,318,359,294,38,49,15,755,5,760
61,Jubilee Hills,319,283,229,78,30,13,633,11,644
61,Jubilee Hills,320,424,291,51,41,19,826,1,827
61,Jubilee Hills,321,230,191,19,22,8,470,1,471
61,Jubilee Hills,321A,185,113,6,9,4,317,0,317
61,Jubilee Hills,322,358,273,19,39,12,701,0,701
61,Jubilee Hills,323,378,297,68,45,11,799,2,801
61,Jubilee Hills,324,162,145,24,21,8,360,1,361
61,Jubilee Hills,324A,231,153,13,31,5,433,2,435
61,Jubilee Hills,325,367,285,37,45,10,744,1,745
61,Jubilee Hills,326,291,215,49,34,8,597,3,600
61,Jubilee Hills,327,201,156,47,15,6,425,2,427
61,Jubilee Hills,328,302,245,55,31,13,646,1,647
61,Jubilee Hills,329,279,312,49,25,12,677,1,678
